Timestamp,Raw,Voltage
2025-09-22 00:38:07.479102,247,0.2
2025-09-22 00:38:07.579083,272,0.22
2025-09-22 00:38:07.679106,222,0.18
2025-09-22 00:38:07.779083,938,0.76
2025-09-22 00:38:07.880226,4095,3.3
2025-09-22 00:38:07.980207,4095,3.3
2025-09-22 00:38:08.079081,383,0.31
2025-09-22 00:38:08.179083,320,0.26
2025-09-22 00:38:08.279104,640,0.52
2025-09-22 00:38:08.378078,64,0.05
2025-09-22 00:38:08.480300,1061,0.86
2025-09-22 00:38:08.577012,6,0.0
2025-09-22 00:38:08.679119,563,0.45
2025-09-22 00:38:08.779114,316,0.25
2025-09-22 00:38:08.878058,34,0.03
2025-09-22 00:38:08.979168,338,0.27
2025-09-22 00:38:09.079141,163,0.13
2025-09-22 00:38:09.179096,129,0.1
2025-09-22 00:38:09.279201,238,0.19
2025-09-22 00:38:09.379153,753,0.61
2025-09-22 00:38:09.479168,353,0.28
2025-09-22 00:38:09.579091,666,0.54
2025-09-22 00:38:09.679220,239,0.19
2025-09-22 00:38:09.779239,119,0.1
2025-09-22 00:38:09.879234,180,0.15
2025-09-22 00:38:09.979107,307,0.25
2025-09-22 00:38:10.079226,857,0.69
2025-09-22 00:38:10.179151,274,0.22
2025-09-22 00:38:10.279194,334,0.27
2025-09-22 00:38:10.379230,477,0.38
2025-09-22 00:38:10.478175,48,0.04
2025-09-22 00:38:10.579234,191,0.15
2025-09-22 00:38:10.679095,283,0.23
2025-09-22 00:38:10.779082,442,0.36
2025-09-22 00:38:10.879085,234,0.19
2025-09-22 00:38:10.979222,304,0.24
2025-09-22 00:38:11.079223,161,0.13
2025-09-22 00:38:11.179133,538,0.43
2025-09-22 00:38:11.279165,618,0.5
2025-09-22 00:38:11.379106,138,0.11
2025-09-22 00:38:11.479099,173,0.14
2025-09-22 00:38:11.579225,326,0.26
2025-09-22 00:38:11.679092,159,0.13
2025-09-22 00:38:11.780357,1203,0.97
2025-09-22 00:38:11.879084,148,0.12
2025-09-22 00:38:11.980324,3392,2.73
2025-09-22 00:38:12.080324,4095,3.3
2025-09-22 00:38:12.179226,669,0.54
2025-09-22 00:38:12.279093,308,0.25
2025-09-22 00:38:12.380191,1092,0.88
2025-09-22 00:38:12.479108,752,0.61
2025-09-22 00:38:12.579088,730,0.59
2025-09-22 00:38:12.679104,803,0.65
2025-09-22 00:38:12.779083,834,0.67
2025-09-22 00:38:12.879224,230,0.19
2025-09-22 00:38:12.979236,682,0.55
2025-09-22 00:38:13.079098,223,0.18
2025-09-22 00:38:13.178056,68,0.05
2025-09-22 00:38:13.278292,48,0.04
2025-09-22 00:38:13.380207,3184,2.57
2025-09-22 00:38:13.480343,1087,0.88
2025-09-22 00:38:13.579088,411,0.33
2025-09-22 00:38:13.679179,701,0.56
2025-09-22 00:38:13.779171,592,0.48
2025-09-22 00:38:13.879082,304,0.24
2025-09-22 00:38:13.979230,605,0.49
2025-09-22 00:38:14.079165,206,0.17
2025-09-22 00:38:14.179178,848,0.68
2025-09-22 00:38:14.280325,1149,0.93
2025-09-22 00:38:14.379259,165,0.13
2025-09-22 00:38:14.479219,404,0.33
2025-09-22 00:38:14.579093,145,0.12
2025-09-22 00:38:14.679084,160,0.13
2025-09-22 00:38:14.779109,496,0.4
2025-09-22 00:38:14.878034,44,0.04
2025-09-22 00:38:14.979275,147,0.12
2025-09-22 00:38:15.078145,94,0.08
2025-09-22 00:38:15.179194,107,0.09
2025-09-22 00:38:15.279182,171,0.14
2025-09-22 00:38:15.379236,268,0.22
2025-09-22 00:38:15.479136,150,0.12
2025-09-22 00:38:15.578172,99,0.08
2025-09-22 00:38:15.679082,112,0.09
2025-09-22 00:38:15.779132,525,0.42
2025-09-22 00:38:15.879108,720,0.58
2025-09-22 00:38:15.979232,161,0.13
2025-09-22 00:38:16.079229,151,0.12
2025-09-22 00:38:16.178179,77,0.06
2025-09-22 00:38:16.279178,373,0.3
2025-09-22 00:38:16.379227,190,0.15
2025-09-22 00:38:16.479110,496,0.4
2025-09-22 00:38:16.579212,151,0.12
2025-09-22 00:38:16.679189,265,0.21
2025-09-22 00:38:16.779096,534,0.43
2025-09-22 00:38:16.877131,0,0.0
2025-09-22 00:38:16.979133,381,0.31
2025-09-22 00:38:17.079086,195,0.16
2025-09-22 00:38:17.179106,169,0.14
2025-09-22 00:38:17.279139,210,0.17
2025-09-22 00:38:17.379105,639,0.51
2025-09-22 00:38:17.479125,247,0.2
2025-09-22 00:38:17.579134,247,0.2
2025-09-22 00:38:17.678079,64,0.05
2025-09-22 00:38:17.779100,131,0.11
2025-09-22 00:38:17.879197,381,0.31
2025-09-22 00:38:17.979233,161,0.13
2025-09-22 00:38:18.079235,529,0.43
2025-09-22 00:38:18.179216,473,0.38
2025-09-22 00:38:18.279136,289,0.23
2025-09-22 00:38:18.378036,85,0.07
2025-09-22 00:38:18.479241,608,0.49
2025-09-22 00:38:18.579156,183,0.15
2025-09-22 00:38:18.679199,175,0.14
2025-09-22 00:38:18.779145,118,0.1
2025-09-22 00:38:18.879201,140,0.11
2025-09-22 00:38:18.979221,253,0.2
2025-09-22 00:38:19.079101,197,0.16
2025-09-22 00:38:19.179230,122,0.1
2025-09-22 00:38:19.279100,704,0.57
2025-09-22 00:38:19.379084,234,0.19
2025-09-22 00:38:19.479099,239,0.19
2025-09-22 00:38:19.579232,236,0.19
2025-09-22 00:38:19.680229,1939,1.56
2025-09-22 00:38:19.780184,2415,1.95
2025-09-22 00:38:19.879193,794,0.64
2025-09-22 00:38:19.979096,242,0.2
2025-09-22 00:38:20.080257,1224,0.99
2025-09-22 00:38:20.180108,1377,1.11
2025-09-22 00:38:20.279204,138,0.11
2025-09-22 00:38:20.378052,62,0.05
2025-09-22 00:38:20.479180,182,0.15
2025-09-22 00:38:20.579137,297,0.24
2025-09-22 00:38:20.679228,467,0.38
2025-09-22 00:38:20.779112,268,0.22
2025-09-22 00:38:20.879205,558,0.45
2025-09-22 00:38:20.979127,336,0.27
2025-09-22 00:38:21.079197,304,0.24
2025-09-22 00:38:21.179090,606,0.49
2025-09-22 00:38:21.279062,162,0.13
2025-09-22 00:38:21.379207,183,0.15
2025-09-22 00:38:21.479090,688,0.55
2025-09-22 00:38:21.579154,211,0.17
2025-09-22 00:38:21.679230,409,0.33
2025-09-22 00:38:21.779146,375,0.3
2025-09-22 00:38:21.879093,197,0.16
2025-09-22 00:38:21.979206,192,0.15
2025-09-22 00:38:22.079227,176,0.14
2025-09-22 00:38:22.179232,854,0.69
2025-09-22 00:38:22.279235,214,0.17
2025-09-22 00:38:22.379230,297,0.24
2025-09-22 00:38:22.479107,410,0.33
2025-09-22 00:38:22.579058,159,0.13
2025-09-22 00:38:22.679208,138,0.11
2025-09-22 00:38:22.778173,76,0.06
2025-09-22 00:38:22.879133,233,0.19
2025-09-22 00:38:22.979058,272,0.22
2025-09-22 00:38:23.078032,52,0.04
2025-09-22 00:38:23.178074,38,0.03
2025-09-22 00:38:23.279082,756,0.61
2025-09-22 00:38:23.379086,502,0.4
2025-09-22 00:38:23.479178,146,0.12
2025-09-22 00:38:23.579227,144,0.12
2025-09-22 00:38:23.678036,10,0.01
2025-09-22 00:38:23.780128,1136,0.92
2025-09-22 00:38:23.880107,2291,1.85
2025-09-22 00:38:23.980110,2074,1.67
2025-09-22 00:38:24.080444,1605,1.29
2025-09-22 00:38:24.179115,333,0.27
2025-09-22 00:38:24.280174,1264,1.02
2025-09-22 00:38:24.379231,945,0.76
2025-09-22 00:38:24.479207,528,0.43
2025-09-22 00:38:24.579121,389,0.31
2025-09-22 00:38:24.679060,607,0.49
2025-09-22 00:38:24.779157,177,0.14
2025-09-22 00:38:24.879089,49,0.44
2025-09-22 00:38:24.980185,1088,0.88
2025-09-22 00:38:25.079085,265,0.21
2025-09-22 00:38:25.179085,811,0.65
2025-09-22 00:38:25.279084,397,0.32
2025-09-22 00:38:25.377100,0,0.0
2025-09-22 00:38:25.479116,368,0.3
2025-09-22 00:38:25.580124,1470,1.18
2025-09-22 00:38:25.679093,322,0.26
2025-09-22 00:38:25.779126,711,0.57
